"Модуль","Название","Описание","Тип драйвера","Режим запуска","Состояние","Статус","Разрешить остановку","Разрешить паузу","Paged Pool(bytes)","Code(bytes)","BSS(bytes)","Дата ссылки","Path","Init(bytes)"
"cht4iscsi","cht4iscsi","cht4iscsi","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","278 528","0","05.02.2019 16:51:31","C:\WINDOWS\system32\drivers\cht4sx64.sys","4 096"
"cht4vbd","Chelsio Virtual Bus Driver","Chelsio Virtual Bus Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","1 433 600","208 896","0","05.02.2019 16:47:51","C:\WINDOWS\system32\drivers\cht4vx64.sys","4 096"
"CimFS","CimFS","CimFS","File System ","System","Running","OK","TRUE","FALSE","12 288","184 320","0","","C:\WINDOWS\system32\drivers\CimFS.sys","4 096"
"circlass","Потребительские ИК-устройства","Потребительские ИК-устройства","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","45 056","0","","C:\WINDOWS\system32\drivers\circlass.sys","4 096"
"CldFlt","Windows Cloud Files Filter Driver","Windows Cloud Files Filter Driver","File System ","Auto","Running","OK","TRUE","FALSE","348 160","126 976","0","","C:\WINDOWS\system32\drivers\cldflt.sys","8 192"
"CLFS","Common Log (CLFS)","Common Log (CLFS)","Kernel ","Boot","Running","OK","TRUE","FALSE","327 680","110 592","0","","C:\WINDOWS\system32\drivers\CLFS.sys","4 096"
"CmBatt","Драйвер батареи с ACPI-управлением (Майкрософт)","Драйвер батареи с ACPI-управлением (Майкрософт)","Kernel ","Manual","Running","OK","TRUE","FALSE","36 864","16 384","0","","C:\WINDOWS\system32\drivers\CmBatt.sys","4 096"
"CNG","CNG","CNG","Kernel ","Boot","Running","OK","TRUE","FALSE","0","638 976","0","","C:\WINDOWS\system32\Drivers\cng.sys","4 096"
"cnghwassist","CNG Hardware Assist algorithm provider","CNG Hardware Assist algorithm provider","Kernel ","Disabled","Stopped","OK","FALSE","FALSE","8 192","20 480","0","","C:\WINDOWS\system32\DRIVERS\cnghwassist.sys","4 096"
"CompositeBus","Драйвер перечислителя композитной шины","Драйвер перечислителя композитной шины","Kernel ","Manual","Running","OK","TRUE","FALSE","24 576","16 384","0","","C:\WINDOWS\system32\DriverStore\FileRepository\compositebus.inf_amd64_8cf6fa9d3afdfa25\CompositeBus.sys","4 096"
"condrv","Console Driver","Console Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","32 768","8 192","0","","C:\WINDOWS\system32\drivers\condrv.sys","4 096"
"CSC","Драйвер автономных файлов","Драйвер автономных файлов","Kernel ","System","Running","OK","TRUE","FALSE","307 200","200 704","0","","C:\WINDOWS\system32\drivers\csc.sys","8 192"
"dam","Desktop Activity Moderator Driver","Desktop Activity Moderator Driver","Kernel ","System","Running","OK","TRUE","FALSE","36 864","20 480","0","","C:\WINDOWS\system32\drivers\dam.sys","8 192"
"devmap","Служба сопоставителя устройств в пользовательском режиме","Служба сопоставителя устройств в пользовательском режиме","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","12 288","0","","C:\WINDOWS\system32\DriverStore\FileRepository\devmap.inf_amd64_1993197f4612e967\devmap.sys","4 096"
"Dfsc","Драйвер клиента пространства имен DFS","Драйвер клиента пространства имен DFS","File System ","System","Running","OK","TRUE","FALSE","106 496","28 672","0","","C:\WINDOWS\system32\Drivers\dfsc.sys","4 096"
"disk","Драйвер диска","Драйвер диска","Kernel ","Boot","Running","OK","TRUE","FALSE","40 960","28 672","0","","C:\WINDOWS\system32\drivers\disk.sys","4 096"
"DisplayMux","Microsoft DisplayMux","Microsoft DisplayMux","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","16 384","0","","C:\WINDOWS\system32\DriverStore\FileRepository\displaymux.inf_amd64_da65a70f0c3ce0f3\DisplayMux.sys","4 096"
"dmvsc","dmvsc","dmvsc","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","32 768","0","","C:\WINDOWS\system32\drivers\dmvsc.sys","4 096"
"drmkaud","Доверенные аудиодрайверы Майкрософт","Доверенные аудиодрайверы Майкрософт","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","4 096","0","","C:\WINDOWS\system32\drivers\drmkaud.sys","4 096"
"DXGKrnl","LDDM Graphics Subsystem","LDDM Graphics Subsystem","Kernel ","Boot","Running","OK","TRUE","FALSE","2 818 048","659 456","0","","C:\WINDOWS\system32\drivers\dxgkrnl.sys","8 192"
"ebdrv","QLogic 10 Gigabit Ethernet Adapter VBD","QLogic 10 Gigabit Ethernet Adapter VBD","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","1 175 552","0","15.11.2020 13:12:10","C:\WINDOWS\system32\drivers\evbda.sys","4 096"
"ebdrv0","QLogic Legacy Ethernet Adapter VBD","QLogic Legacy Ethernet Adapter VBD","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","1 163 264","0","07.11.2020 13:07:41","C:\WINDOWS\system32\drivers\evbd0a.sys","4 096"
"EhStorClass","Enhanced Storage Filter Driver","Enhanced Storage Filter Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","20 480","69 632","0","","C:\WINDOWS\system32\drivers\EhStorClass.sys","4 096"
"EhStorTcgDrv","Драйвер Майкрософт для запоминающих устройств, поддерживающих протоколы IEEE 1667 и TCG","Драйвер Майкрософт для запоминающих устройств, поддерживающих протоколы IEEE 1667 и TCG","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","81 920","0","","C:\WINDOWS\system32\drivers\EhStorTcgDrv.sys","4 096"
"ErrDev","Microsoft Hardware Error Device Driver","Microsoft Hardware Error Device Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","12 288","0","","C:\WINDOWS\system32\drivers\errdev.sys","4 096"
"ExecutionContext","CPU Scheduler for High Performance I/O","CPU Scheduler for High Performance I/O","Kernel ","Manual","Running","OK","TRUE","FALSE","20 480","53 248","0","","C:\WINDOWS\system32\Drivers\ExecutionContext.sys","4 096"
"exfat","exFAT File System Driver","exFAT File System Driver","File System ","Manual","Stopped","OK","FALSE","FALSE","233 472","90 112","0","","C:\WINDOWS\system32\drivers\exfat.sys","4 096"
"fastfat","FAT12/16/32 File System Driver","FAT12/16/32 File System Driver","File System ","Manual","Running","OK","TRUE","FALSE","266 240","65 536","0","","C:\WINDOWS\system32\drivers\fastfat.sys","4 096"
"fdc","Драйвер контроллера гибких дисков","Драйвер контроллера гибких дисков","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","28 672","0","","C:\WINDOWS\system32\drivers\fdc.sys","4 096"
"FileCrypt","FileCrypt","FileCrypt","File System ","System","Running","OK","TRUE","FALSE","28 672","20 480","0","","C:\WINDOWS\system32\drivers\filecrypt.sys","4 096"
"FileInfo","File Information FS MiniFilter","File Information FS MiniFilter","File System ","Boot","Running","OK","TRUE","FALSE","49 152","20 480","0","","C:\WINDOWS\system32\drivers\fileinfo.sys","4 096"
"Filetrace","Filetrace","Filetrace","File System ","Manual","Stopped","OK","FALSE","FALSE","12 288","20 480","0","","C:\WINDOWS\system32\drivers\filetrace.sys","4 096"
"flpydisk","Драйвер дисковода гибких дисков","Драйвер дисковода гибких дисков","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16 384","12 288","0","","C:\WINDOWS\system32\drivers\flpydisk.sys","4 096"
"FltMgr","Диспетчер фильтров","Диспетчер фильтров","File System ","Boot","Running","OK","TRUE","FALSE","237 568","159 744","0","","C:\WINDOWS\system32\drivers\fltmgr.sys","8 192"
"FsDepends","File System Dependency Minifilter","File System Dependency Minifilter","File System ","Manual","Stopped","OK","FALSE","FALSE","40 960","12 288","0","","C:\WINDOWS\system32\drivers\FsDepends.sys","4 096"
"fvevol","Драйвер фильтра шифрования диска BitLocker","Драйвер фильтра шифрования диска BitLocker","Kernel ","Boot","Running","OK","TRUE","FALSE","573 440","172 032","0","","C:\WINDOWS\system32\DRIVERS\fvevol.sys","12 288"
"gencounter","Счетчик создания Microsoft Hyper-V","Счетчик создания Microsoft Hyper-V","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","8 192","0","","C:\WINDOWS\system32\drivers\vmgencounter.sys","4 096"
"genericusbfn","Общий класс функции USB","Общий класс функции USB","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","16 384","0","","C:\WINDOWS\system32\DriverStore\FileRepository\genericusbfn.inf_amd64_71c810ddc0116541\genericusbfn.sys","4 096"
"GenPass","Драйвер Microsoft GenPass","Драйвер Microsoft GenPass","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","12 288","0","","C:\WINDOWS\system32\DriverStore\FileRepository\genpass.inf_amd64_0c82d80c9252c9bd\genpass.sys","4 096"
"GPIOClx0101","Microsoft GPIO Class Extension Driver","Microsoft GPIO Class Extension Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","49 152","102 400","0","","C:\WINDOWS\system32\Drivers\msgpioclx.sys","4 096"
