"Модуль","Название","Описание","Тип драйвера","Режим запуска","Состояние","Статус","Разрешить остановку","Разрешить паузу","Paged Pool(bytes)","Code(bytes)","BSS(bytes)","Дата ссылки","Path","Init(bytes)"
"usbaudio","Аудио драйвер USB (WDM)","Аудио драйвер USB (WDM)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","90 112","118 784","0","","C:\WINDOWS\system32\drivers\usbaudio.sys","4 096"
"usbaudio2","Служба USB Audio 2.0","Служба USB Audio 2.0","Kernel ","Manual","Stopped","OK","FALSE","FALSE","237 568","94 208","0","","C:\WINDOWS\system32\drivers\usbaudio2.sys","4 096"
"usbccgp","Драйвер универсального родительского устройства USB (Microsoft)","Драйвер универсального родительского устройства USB (Microsoft)","Kernel ","Manual","Running","OK","TRUE","FALSE","53 248","90 112","0","","C:\WINDOWS\system32\drivers\usbccgp.sys","4 096"
"usbcir","eHome инфракрасный ресивер (USBCIR)","eHome инфракрасный ресивер (USBCIR)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","20 480","81 920","0","","C:\WINDOWS\system32\drivers\usbcir.sys","4 096"
"usbehci","Драйвер минипорта Microsoft USB 2.0 расширенного хост-контроллера","Драйвер минипорта Microsoft USB 2.0 расширенного хост-контроллера","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","77 824","0","","C:\WINDOWS\system32\drivers\usbehci.sys","4 096"
"usbhub","Стандартный драйвер USB-концентратора (Майкрософт)","Стандартный драйвер USB-концентратора (Майкрософт)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","401 408","0","","C:\WINDOWS\system32\drivers\usbhub.sys","4 096"
"USBHUB3","Концентратор SuperSpeed","Концентратор SuperSpeed","Kernel ","Manual","Running","OK","TRUE","FALSE","118 784","290 816","0","","C:\WINDOWS\system32\drivers\UsbHub3.sys","4 096"
"usbohci","Драйвер минипорта Microsoft USB открытого хост-контроллера","Драйвер минипорта Microsoft USB открытого хост-контроллера","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","32 768","0","","C:\WINDOWS\system32\drivers\usbohci.sys","4 096"
"usbprint","Класс принтеров Microsoft USB","Класс принтеров Microsoft USB","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","40 960","0","","C:\WINDOWS\system32\drivers\usbprint.sys","4 096"
"usbser","Драйвер последовательного порта USB (Майкрософт)","Драйвер последовательного порта USB (Майкрософт)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","24 576","53 248","0","","C:\WINDOWS\system32\drivers\usbser.sys","4 096"
"USBSTOR","Драйвер запоминающих устройств для USB","Драйвер запоминающих устройств для USB","Kernel ","Manual","Stopped","OK","FALSE","FALSE","45 056","86 016","0","","C:\WINDOWS\system32\drivers\USBSTOR.SYS","4 096"
"usbuhci","Драйвер минипорта Microsoft USB универсального хост-контроллера","Драйвер минипорта Microsoft USB универсального хост-контроллера","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","36 864","0","","C:\WINDOWS\system32\drivers\usbuhci.sys","4 096"
"usbvideo","USB-видеоустройство (WDM)","USB-видеоустройство (WDM)","Kernel ","Manual","Running","OK","TRUE","FALSE","40 960","274 432","0","","C:\WINDOWS\system32\Drivers\usbvideo.sys","4 096"
"USBXHCI","xHCI-совместимый хост-контроллер USB","xHCI-совместимый хост-контроллер USB","Kernel ","Manual","Running","OK","TRUE","FALSE","69 632","372 736","0","","C:\WINDOWS\system32\drivers\USBXHCI.SYS","4 096"
"vdrvroot","Перечислитель виртуальных дисков (Майкрософт)","Перечислитель виртуальных дисков (Майкрософт)","Kernel ","Boot","Running","OK","TRUE","FALSE","8 192","12 288","0","","C:\WINDOWS\system32\drivers\vdrvroot.sys","4 096"
"VerifierExt","Расширение средства проверки драйверов","Расширение средства проверки драйверов","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","114 688","0","","C:\WINDOWS\system32\drivers\VerifierExt.sys","4 096"
"vhdmp","vhdmp","vhdmp","Kernel ","Manual","Stopped","OK","FALSE","FALSE","335 872","397 312","0","","C:\WINDOWS\system32\drivers\vhdmp.sys","8 192"
"vhf","Драйвер платформы Virtual HID Framework (VHF)","Драйвер платформы Virtual HID Framework (VHF)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12 288","36 864","0","","C:\WINDOWS\system32\drivers\vhf.sys","4 096"
"Vid","Vid","Vid","Kernel ","System","Running","OK","TRUE","FALSE","446 464","217 088","0","","C:\WINDOWS\system32\drivers\Vid.sys","4 096"
"VirtualRender","VirtualRender","VirtualRender","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","12 288","0","","C:\WINDOWS\system32\DriverStore\FileRepository\vrd.inf_amd64_4dd0e6d66a75bb7e\vrd.sys","4 096"
"vmbus","Шина VMBus","Шина VMBus","Kernel ","Manual","Stopped","OK","FALSE","FALSE","36 864","98 304","0","","C:\WINDOWS\system32\drivers\vmbus.sys","4 096"
"VMBusHID","VMBusHID","VMBusHID","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","16 384","0","","C:\WINDOWS\system32\drivers\VMBusHID.sys","4 096"
"vmgid","Драйвер инфраструктуры гостей Microsoft Hyper-V","Драйвер инфраструктуры гостей Microsoft Hyper-V","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","8 192","0","","C:\WINDOWS\system32\drivers\vmgid.sys","4 096"
"volmgr","Драйвер диспетчера томов","Драйвер диспетчера томов","Kernel ","Boot","Running","OK","TRUE","FALSE","40 960","28 672","0","","C:\WINDOWS\system32\drivers\volmgr.sys","4 096"
"volmgrx","Диспетчер динамических томов","Диспетчер динамических томов","Kernel ","Boot","Running","OK","TRUE","FALSE","225 280","114 688","0","","C:\WINDOWS\system32\drivers\volmgrx.sys","4 096"
"volsnap","Драйвер теневого копирования тома","Драйвер теневого копирования тома","Kernel ","Boot","Running","OK","TRUE","FALSE","278 528","69 632","0","","C:\WINDOWS\system32\drivers\volsnap.sys","4 096"
"volume","Драйвер тома","Драйвер тома","Kernel ","Boot","Running","OK","TRUE","FALSE","4 096","4 096","0","","C:\WINDOWS\system32\drivers\volume.sys","4 096"
"vpci","Виртуальная шина PCI Microsoft Hyper-V","Виртуальная шина PCI Microsoft Hyper-V","Kernel ","Manual","Stopped","OK","FALSE","FALSE","61 440","49 152","0","","C:\WINDOWS\system32\drivers\vpci.sys","4 096"
"vsmraid","vsmraid","vsmraid","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","143 360","0","22.04.2014 22:21:41","C:\WINDOWS\system32\drivers\vsmraid.sys","4 096"
"VSTXRAID","VIA StorX Storage RAID Controller Windows Driver","VIA StorX Storage RAID Controller Windows Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","278 528","0","21.01.2013 22:00:28","C:\WINDOWS\system32\drivers\vstxraid.sys","4 096"
"vwifibus","Драйвер шины виртуального Wi-Fi","Драйвер шины виртуального Wi-Fi","Kernel ","Manual","Running","OK","TRUE","FALSE","8 192","20 480","0","","C:\WINDOWS\system32\DriverStore\FileRepository\netvwifibus.inf_amd64_ab4e111fe8221178\vwifibus.sys","4 096"
"vwififlt","Virtual WiFi Filter Driver","Virtual WiFi Filter Driver","Kernel ","System","Running","OK","TRUE","FALSE","4 096","65 536","0","","C:\WINDOWS\system32\drivers\vwififlt.sys","4 096"
"vwifimp","Служба мини-порта виртуального Wi-Fi","Служба мини-порта виртуального Wi-Fi","Kernel ","Manual","Running","OK","TRUE","FALSE","8 192","40 960","0","","C:\WINDOWS\system32\DriverStore\FileRepository\netvwifimp.inf_amd64_f582fa38c522282e\vwifimp.sys","4 096"
"WacomPen","Wacom - драйвер пера последовательного порта","Wacom - драйвер пера последовательного порта","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12 288","16 384","0","","C:\WINDOWS\system32\drivers\wacompen.sys","4 096"
"wanarp","Драйвер IP ARP для удаленного доступа","Драйвер IP ARP для удаленного доступа","Kernel ","Auto","Running","OK","TRUE","FALSE","53 248","24 576","0","","C:\WINDOWS\system32\DRIVERS\wanarp.sys","4 096"
"wanarpv6","Драйвер IPv6 ARP для удаленного доступа","Драйвер IPv6 ARP для удаленного доступа","Kernel ","Manual","Stopped","OK","FALSE","FALSE","53 248","24 576","0","","C:\WINDOWS\system32\DRIVERS\wanarp.sys","4 096"
"wcifs","Windows Container Isolation","Windows Container Isolation","File System ","Auto","Running","OK","TRUE","FALSE","135 168","36 864","0","","C:\WINDOWS\system32\drivers\wcifs.sys","8 192"
"WdBoot","Драйвер загрузки антивирусной программы Microsoft Defender","Драйвер загрузки антивирусной программы Microsoft Defender","Kernel ","Boot","Stopped","OK","FALSE","FALSE","4 096","4 096","0","","C:\WINDOWS\system32\drivers\wd\WdBoot.sys","4 096"
"Wdf01000","Служба платформ драйвера режима ядра","Служба платформ драйвера режима ядра","Kernel ","Boot","Running","OK","TRUE","FALSE","49 152","708 608","0","","C:\WINDOWS\system32\drivers\Wdf01000.sys","4 096"
"WdFilter","Драйвер с функцией мини-фильтра в составе антивирусной программы Microsoft Defender","Драйвер с функцией мини-фильтра в составе антивирусной программы Microsoft Defender","File System ","Boot","Running","OK","TRUE","FALSE","393 216","69 632","0","","C:\WINDOWS\system32\drivers\wd\WdFilter.sys","45 056"
"wdiwifi","WDI Driver Framework","WDI Driver Framework","Kernel ","Manual","Running","OK","TRUE","FALSE","4 096","909 312","0","","C:\WINDOWS\system32\DRIVERS\wdiwifi.sys","4 096"
"WdmCompanionFilter","WdmCompanionFilter","WdmCompanionFilter","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","12 288","0","","C:\WINDOWS\system32\drivers\WdmCompanionFilter.sys","4 096"
"WdNisDrv","Системный драйвер проверки сети в составе антивирусной программы Microsoft Defender","Системный драйвер проверки сети в составе антивирусной программы Microsoft Defender","Kernel ","Manual","Running","OK","TRUE","FALSE","12 288","61 440","0","","C:\WINDOWS\system32\drivers\wd\WdNisDrv.sys","4 096"
"WFPLWFS","Платформа фильтрации Microsoft Windows","Платформа фильтрации Microsoft Windows","Kernel ","Boot","Running","OK","TRUE","FALSE","4 096","139 264","0","","C:\WINDOWS\system32\drivers\wfplwfs.sys","4 096"
"Wificx","Wifi Network Adapter Class Extension","Wifi Network Adapter Class Extension","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","884 736","0","","C:\WINDOWS\system32\drivers\WifiCx.sys","4 096"
"WIMMount","WIMMount","WIMMount","File System ","Manual","Stopped","OK","FALSE","FALSE","12 288","16 384","0","","C:\WINDOWS\system32\drivers\wimmount.sys","4 096"
"WinAccelCx0101","Microsoft Accelerator Class Extension Driver","Microsoft Accelerator Class Extension Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","86 016","0","","C:\WINDOWS\system32\drivers\WinAccelCx.sys","4 096"
"WindowsTrustedRT","Windows Trusted Execution Environment Class Extension","Windows Trusted Execution Environment Class Extension","Kernel ","Boot","Running","OK","TRUE","FALSE","8 192","53 248","0","","C:\WINDOWS\system32\drivers\WindowsTrustedRT.sys","4 096"
"WindowsTrustedRTProxy","Служба безопасности доверенной среды выполнения Microsoft Windows","Служба безопасности доверенной среды выполнения Microsoft Windows","Kernel ","Boot","Running","OK","TRUE","FALSE","4 096","8 192","0","","C:\WINDOWS\system32\drivers\WindowsTrustedRTProxy.sys","4 096"
"wini3ctarget","Универсальный драйвер для целевых устройств I3C","Универсальный драйвер для целевых устройств I3C","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","16 384","0","","C:\WINDOWS\system32\DriverStore\FileRepository\wini3ctarget.inf_amd64_649556236bab9406\wini3ctarget.sys","4 096"
"WinMad","WinMad Service","WinMad Service","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","20 480","0","19.06.2019 16:18:11","C:\WINDOWS\system32\drivers\winmad.sys","4 096"
"WinNat","Драйвер NAT Windows","Драйвер NAT Windows","Kernel ","Manual","Stopped","OK","FALSE","FALSE","32 768","131 072","0","","C:\WINDOWS\system32\drivers\winnat.sys","4 096"
"wintun","wintun","wintun","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","12 288","0","13.10.2021 15:24:47","C:\WINDOWS\system32\drivers\wintun.sys","4 096"
"WINUSB","Драйвер WinUsb","Драйвер WinUsb","Kernel ","Manual","Stopped","OK","FALSE","FALSE","24 576","73 728","0","","C:\WINDOWS\system32\drivers\WinUSB.SYS","4 096"
"WinVerbs","WinVerbs Service","WinVerbs Service","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","53 248","0","19.06.2019 16:18:12","C:\WINDOWS\system32\drivers\winverbs.sys","4 096"
"WmiAcpi","Microsoft Windows Management Interface for ACPI","Microsoft Windows Management Interface for ACPI","Kernel ","Manual","Running","OK","TRUE","FALSE","8 192","12 288","0","","C:\WINDOWS\system32\drivers\wmiacpi.sys","4 096"
"Wof","Windows Overlay File System Filter Driver","Windows Overlay File System Filter Driver","File System ","Boot","Running","OK","TRUE","FALSE","114 688","69 632","0","","C:\WINDOWS\system32\drivers\Wof.sys","8 192"
"WpdUpFltr","WPD Upper Class Filter Driver","WPD Upper Class Filter Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","16 384","0","","C:\WINDOWS\system32\drivers\WpdUpFltr.sys","4 096"
"ws2ifsl","Драйвер WinSock IFS","Драйвер WinSock IFS","Kernel ","Disabled","Stopped","OK","FALSE","FALSE","12 288","12 288","0","","C:\WINDOWS\system32\drivers\ws2ifsl.sys","4 096"
"wtd","wtd","wtd","Kernel ","Auto","Running","OK","TRUE","FALSE","28 672","28 672","0","","C:\WINDOWS\system32\drivers\wtd.sys","4 096"
"WudfPf","User Mode Driver Frameworks Platform Driver","User Mode Driver Frameworks Platform Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12 288","94 208","0","","C:\WINDOWS\system32\drivers\WudfPf.sys","4 096"
"WUDFRd","Windows Driver Foundation - User-mode Driver Framework Reflector","Windows Driver Foundation - User-mode Driver Framework Reflector","Kernel ","Manual","Running","OK","TRUE","FALSE","12 288","270 336","0","","C:\WINDOWS\system32\drivers\WUDFRd.sys","4 096"
"WUDFWpdFs","Драйвер файловой системы WPD","Драйвер файловой системы WPD","Kernel ","Manual","Running","OK","TRUE","FALSE","12 288","270 336","0","","C:\WINDOWS\system32\drivers\WUDFRd.sys","4 096"
"xboxgip","Драйвер протокола игрового ввода Xbox","Драйвер протокола игрового ввода Xbox","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16 384","307 200","0","","C:\WINDOWS\system32\drivers\xboxgip.sys","4 096"
"xinputhid","Драйвер-фильтр HID XINPUT","Драйвер-фильтр HID XINPUT","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","65 536","0","","C:\WINDOWS\system32\drivers\xinputhid.sys","4 096"
"KslD","KslD","KslD","Kernel ","Manual","Running","OK","TRUE","FALSE","4 096","253 952","0","","C:\WINDOWS\system32\drivers\wd\KslD.sys","8 192"
